path,area,status,issues,screen_sections_notes,last_updated
frontend/app/addresses.tsx,customer,pending-review,,,2026-05-06
frontend/app/admin/bank-requests.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/banks.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/complaints.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/coupons.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/error-logs/[id].tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/error-logs/index.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/features.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/growth.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/index.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/_layout.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/master.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/order/[id].tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/orders.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/payouts.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/platform-settings.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/refunds.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/support-master.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/support-tickets.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/(tabs)/index.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/(tabs)/_layout.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/(tabs)/more.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/(tabs)/settings.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/(tabs)/vendors.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/users.tsx,admin,pending-review,,,2026-05-06
frontend/app/admin/vendors/[id].tsx,admin,pending-review,,,2026-05-06
frontend/app/appearance.tsx,customer,pending-review,,,2026-05-06
frontend/app/auth/forgot-pin.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/index.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/_layout.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/login.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/otp.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/quick-login.tsx,auth,pending-review,,,2026-05-06
frontend/app/auth/role.tsx,auth,pending-review,,,2026-05-06
frontend/app/change-login-pin.tsx,customer,pending-review,,,2026-05-06
frontend/app/customer-analytics.tsx,customer,pending-review,,,2026-05-06
frontend/app/customer-payment-history.tsx,customer,pending-review,,,2026-05-06
frontend/app/customer-payment-methods.tsx,customer,pending-review,,,2026-05-06
frontend/app/customer-raise-complaint.tsx,customer,pending-review,,,2026-05-06
frontend/app/customer-reviews.tsx,customer,pending-review,,,2026-05-06
frontend/app/delivery/charge-request.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/complete.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/earnings.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/history.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/index.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/_layout.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/navigation.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/raise-complaint.tsx,delivery,pending-review,,,2026-05-06
frontend/app/delivery/task/[taskId].tsx,delivery,pending-review,,,2026-05-06
frontend/app/edit-profile.tsx,customer,pending-review,,,2026-05-06
frontend/app/emergency-help.tsx,customer,pending-review,,,2026-05-06
frontend/app/enable-notifications.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/app-support.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/complaint-support.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/general-support.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/index.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/_layout.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/my-tickets.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/order-support.tsx,customer,pending-review,,,2026-05-06
frontend/app/help/ticket-detail.tsx,customer,pending-review,,,2026-05-06
frontend/app/index.tsx,customer,pending-review,,,2026-05-06
frontend/app/_layout.tsx,customer,pending-review,,,2026-05-06
frontend/app/location.tsx,customer,pending-review,,,2026-05-06
frontend/app/map-preview.tsx,customer,pending-review,,,2026-05-06
frontend/app/modal.tsx,customer,pending-review,,,2026-05-06
frontend/app/notifications.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/customer/index.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/customer/location.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/customer/profile.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/customer/register.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/bank.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/basic-details.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/index.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/location.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/rejected.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/verification.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding/shop/waitlist.tsx,customer,pending-review,,,2026-05-06
frontend/app/onboarding.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/cancel.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/checkout.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/confirmed.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/[id].tsx,customer,pending-review,,,2026-05-06
frontend/app/order/rating.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/reject-resolution.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/schedule.tsx,customer,pending-review,,,2026-05-06
frontend/app/order/tracking.tsx,customer,pending-review,,,2026-05-06
frontend/app/payments/history.tsx,customer,pending-review,,,2026-05-06
frontend/app/privacy-policy.tsx,customer,pending-review,,,2026-05-06
frontend/app/privacy-security.tsx,customer,pending-review,,,2026-05-06
frontend/app/report-issue.tsx,customer,pending-review,,,2026-05-06
frontend/app/rewards.tsx,customer,pending-review,,,2026-05-06
frontend/app/search-map.tsx,customer,pending-review,,,2026-05-06
frontend/app/security-setup.tsx,customer,pending-review,,,2026-05-06
frontend/app/shop-alternatives.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/analytics.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/can-management.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/catalog.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/complaints.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/coupon-create.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/customers.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/delivery-fleet.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/delivery.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop-detail/[id].tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/holidays.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/inventory-cans.tsx,shop,pending-review,,,2026-05-06
frontend/app/shop/_layout.tsx,shop,pending-review,,,2026-05-06
